Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z
-0.1040584865,0.2923153054,1.115399867,-0.4692699313,0.1070334911,-0.03184244037
1.32235145,3.696366793,-0.1346247435,-0.416904062,0.2776004672,1.498224378
-2.207711997,-1.086971061,2.171264427,-0.7227031589,-1.254754663,0.9375540614
-0.6760375593,-0.107513157,-1.121973985,-0.4324519932,0.4016825855,0.6422756314
-2.134710181,2.638279589,2.296281384,0.9554620981,-1.880499601,-0.103720665
-2.014445387,5.699719708,3.657836279,1.179957032,-3.108001232,2.013381243
-0.2974433159,5.288376457,5.990304244,-1.768626213,-3.609313965,3.132775068
1.085050906,5.803186512,-0.2262432891,-4.104593754,-2.493019819,4.102676392
-0.5481827483,6.471245348,-7.024061017,-3.506427526,-2.950423241,3.803596497
-2.572830381,4.263602324,-12.9352625,-2.159155369,-0.7640462518,3.354750395
-4.336519384,0.01784428425,-10.44787051,-0.8186575174,2.136415482,3.751033545
-11.544969,0.2601701086,-2.899502129,-1.13120842,2.067716837,1.824877858
-0.6978890334,-0.2406049919,-5.202616574,0.06756199896,3.056690216,1.477766514
-4.236697659,-6.167193427,2.847940869,0.5773470402,2.20415926,-0.70857656
-0.9300205037,0.6584943039,2.410304654,-2.938005209,1.985667109,-2.018161297
-1.483403159,-0.2701362068,1.249424307,-2.255304813,2.507298946,0.1777507812
0.1216714462,-0.892055807,1.251789283,-2.073330402,0.8827009201,-0.6157491207
0.9621136781,0.681236297,-2.248760047,-1.030012131,-2.082731009,-1.417976737
-0.6509665387,0.2442781274,-1.753100536,-2.30375433,-1.283230186,-1.497041225
0.2539227386,-3.297921601,2.522335873,-3.880386353,0.5379993916,-0.01700299233
-0.7041603688,3.55226578,-1.295481563,-1.474875093,-0.3282725811,-0.6110829115
2.814405679,2.387005027,0.5421861383,-0.6208631992,-0.8266342282,0.3345735967
-0.5983952245,0.7754261543,-1.709467,0.7010228038,-0.6050892472,2.93192029
-9.365411961,-4.766418283,-3.194862209,-0.9638186097,0.9886092544,1.05251646
-2.880834253,-0.07783551935,-0.1426034673,-2.090968847,1.864957094,0.7268574834
-0.5582420778,2.978103957,1.093623797,-0.691736877,0.2548871636,0.4842360616
-0.904746654,0.9195505476,-0.4248807783,-0.7936140895,1.008740664,0.9607000351
0.7856389208,0.6481599569,-0.0780424401,-1.00291729,0.06918252259,1.144916892
1.418906721,-2.2757898,-1.175591594,-0.0284574721,0.3748168945,-0.2435073256
-0.7360381468,0.183451026,0.1878568598,0.1530875415,-0.8537912369,-0.2685305178
0.7804961511,-0.664451751,0.2372945522,0.1931182146,-0.2530965507,-0.2529900968
-0.3432134257,0.958293243,0.02428980713,-0.04547671229,-0.3628813922,-0.2316085994
0.2480380645,-1.178449906,-0.73688395,0.1411192864,-0.2655027211,-0.1725081205
-0.3362916636,-0.8792980322,-0.6047358257,0.3738435805,-0.6015784144,-0.3378429115
-1.742059502,-2.504319154,-0.7516746919,-0.7494447827,-0.05556085706,-1.117302418
-0.2141264425,-0.7320248195,-0.3266439837,0.3545427918,-0.7908944488,-0.4175516069
0.7970159087,0.447891067,0.9768325238,0.6392307878,-0.5043826103,-0.5886490345
0.06766776108,1.400158474,-0.07900865479,0.9496847987,-0.9045397043,0.1495769769
0.04408332575,-0.02926291936,-0.9293640856,1.196798444,-0.3813609779,0.003704312025
-0.1528882761,2.762791227,-0.3200079067,1.049216747,-0.1930076182,-0.1177657545
-0.1568434435,0.0657137044,-0.3199003547,0.1220926344,0.08033985645,-0.0356798172
-0.3937583487,-0.8310913429,-1.027291376,0.1599441171,0.2084989101,-0.02256629616
-1.142639464,-0.06533844135,-0.6605620501,0.2103810459,0.1365537345,-0.006183265243
-0.9637990008,-0.5012894797,-1.115734214,0.006198567804,-0.06991940737,0.0395992361
-0.9097079297,-0.7897913643,-1.690378853,-0.03797055408,-0.1693484187,0.0854428634
-0.6423826886,-1.113456917,-2.048733734,0.05542291328,-0.193599537,0.215901196
-1.594707671,-0.5952478664,-2.308055701,0.05679380894,-0.1920883656,0.2872136831
-2.909865702,0.4595569549,-1.945572634,0.03239786252,-0.5379471779,0.2609434426
-2.247105119,1.371466048,-2.160652724,-0.1756538898,-0.7542651892,-0.03285705671
0.9251572816,11.22630169,4.100193385,-0.1135308444,0.5113045573,-0.864690721
0.3471503268,-4.412134889,-2.556982823,-1.151761413,0.1213495508,-0.1738601774
0.1679486287,-4.236259267,1.003552773,-0.3381428719,0.4382301569,0.452827245
1.760246024,4.202529431,1.368928054,-0.1080866158,-0.04496347904,0.09484282881
1.25027391,-2.385718494,-1.456428643,-0.5104646087,0.6885023713,0.4205803871
0.6837615777,-0.2014998929,0.08115648047,0.1440546662,0.564606607,0.5140553713
0.1778678191,0.2938876693,-0.4866916301,-0.1816506684,0.8925636411,0.2374773026
-0.8062266585,-0.1870189476,-1.410050046,-0.2283603847,0.7701394558,0.1500113755
-0.7283496381,0.1798831044,-1.673059469,-0.5030489564,0.2519932985,0.2416207641
-0.1720249383,0.4094517385,-2.559190855,-0.8158687949,0.08566191792,0.1254872829
0.2512573188,-1.849889031,-3.952359323,-0.1460334361,0.644395411,-0.04642750695
-2.687559168,2.401377251,-2.549122757,0.1642383188,-0.3938428164,0.4167276919
-1.119796349,1.668677893,0.9408730294,0.4625404477,0.1049141586,0.5888620615
3.738403269,-0.1200122808,6.337021586,1.761575937,-0.06015618145,0.6381993294
1.114037639,3.112762602,1.926861796,0.91587919,-0.3984880745,-0.302182436
-4.692524195,-1.930972154,-0.2653063024,0.4822051823,0.2612580061,-0.5533035994
-1.946196173,-1.90878721,0.3868494461,0.6562279463,-0.04874734581,-0.5504981875
0.8712770767,-1.080202882,0.02542436411,0.5887237787,-0.5246731639,-0.5753241777
-0.5367910012,-0.9396458257,-0.8304547986,0.1455584913,-0.7552138567,-0.2541060448
-0.9095013012,-2.070079596,-1.553975994,-0.4666957855,-0.9551352262,0.09848989546
0.2025860807,-4.360293643,-3.305709771,-0.3952209353,-1.010368824,0.5119255185
0.07552811919,-0.6805354553,-0.6781576202,0.4464160502,-0.2425386161,-0.2510399818
-4.390399443,3.702928051,-2.973411415,0.6766778231,-0.2284536362,-0.4693864882
-0.6054052494,8.647611482,4.571394893,-0.7597467303,0.1881757826,-1.051193953
1.215033377,-5.433772185,1.086603689,-0.2764434814,-0.1555088758,-1.406685472
-0.1304424894,6.365267438,1.707833407,-0.5064883828,-1.203258753,-0.3023433983
6.576478577,-0.6944786404,0.9287839477,-0.566557169,-0.1636790335,0.6957219243
2.74693724,-2.053830472,-0.4556152315,-0.4806791246,1.671695113,0.6473913789
1.145267767,-0.4306470867,0.9359729824,-0.3218373954,1.637591243,0.8562436104
0.3685992114,-1.133240645,-1.676026795,-0.847563684,1.684095502,0.6399487257
-0.117910194,-1.270318042,-2.334511746,-1.107252955,1.633864999,0.3956144154
-0.5346349922,-1.603186892,-3.254574919,-0.9540479779,0.8455433846,0.3630900383
-1.936520582,-1.452120716,-2.766945132,-0.1203215569,0.8102563024,-0.2298185527
-3.96210155,4.832356444,-4.351086254,0.2526632249,-0.4670786262,0.3047477603
-0.8595178115,1.975299372,-1.027803709,0.3841007054,-0.116032429,0.9908016324
2.73583863,-1.743072332,5.057841023,1.489425302,-0.2625560164,1.455873966
4.067475064,1.685831857,5.240820925,1.565925837,-0.4032677114,0.5298420787
-6.058106445,1.805772826,1.676575807,0.1715326905,-0.9176657796,-0.5417515039
-4.080082617,-3.463417869,-0.1077121867,0.4950908124,-0.6035580635,-0.9733506441
2.472766955,0.0225321498,0.9583166239,0.3193178773,-0.8368548155,-1.109712005
0.2733018312,-1.962355134,-0.6771906749,0.5134068131,-1.234333158,-0.3112594783
-1.035678096,-1.510980902,-0.9060266108,0.04738094285,-1.076506376,0.2018883675
-0.3728093764,-3.438406761,-2.56451731,-0.3576458395,-1.491341591,0.3919575512
-0.6712862732,2.851774748,-0.9672995563,0.1720479578,-0.3520624936,-0.3489331603
-1.352241269,2.395263736,-1.144571017,0.4817244709,0.3468327522,-0.5693031549
