accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
-0.0598449707,-0.3973236084,-0.8920593262,0.149517849,0.1718615,0.164639279
0.002685547,-0.3805541992,-0.9682312012,0.208680779,0.307546645,0.314769924
-0.04420471191,-0.4604797363,-0.888885498,0.89823097,-0.00179896527,0.506643236
-0.03227233887,-0.4810943604,-0.8083953857,-0.125402391,0.296105176,0.272943378
0.033935547,-0.45652771,-0.9110565186,-0.2294049561,0.104618557,0.087008931
-0.03628540039,-0.446105957,-0.9058380127,0.319639772,0.422384262,0.131092504
0.064804077,-0.4513397217,-0.8946533203,0.392348886,0.689456165,1.002970934
-0.1284484863,-0.3260650635,-0.8474273682,0.053991064,1.858333826,-0.05260222405
0.141082764,-0.3589630127,-0.8026733398,-0.564812541,-0.4389198422,1.68742764
-0.2284698486,0.787506104,-1.031539917,-3.393426418,1.265876889,4.39150095
-0.361114502,0.694198608,-1.23550415,-2.313892126,3.640674114,3.761713743
0.288726807,-0.1095581055,-0.796661377,-6.259901047,6.747418404,-0.1727019995
1.015396118,-0.7186737061,-0.9740905762,-5.292920113,-0.08918580413,0.75560993
1.28817749,-0.9528961182,-1.501617432,-2.653577328,3.186604738,1.547761321
0.398696899,-0.6545410156,-1.34602356,-0.2823171914,2.438975573,2.10530448
0.268722534,0.378662109,-0.695526123,0.024531709,2.129201889,1.349558949
0.432723999,0.719345093,-0.9598999023,-0.4088972211,1.963892221,0.549293757
0.85798645,0.46836853,-0.7600250244,0.86947602,1.754660726,0.624872685
0.799911499,0.035858154,-0.5221405029,0.548705697,1.310803294,0.462794006
0.826828003,-0.2087402344,-0.4606628418,0.213803902,0.897414446,0.605370045
0.836837769,0.21395874,-0.351348877,0.370625734,0.698207319,0.47092998
0.998458862,0.455673218,-0.3368835449,-0.3349662721,0.31941554,0.694311678
0.942749023,0.301422119,-0.4769134521,-0.2283151895,0.808882713,-0.6100457907
1.001052856,0.159393311,-0.310760498,0.100352168,0.423535019,-0.9673205614
0.804977417,0.021865845,-0.3819732666,0.065503113,-0.3923731148,-0.4919700027
0.729141235,-0.1922302246,-1.007385254,1.928244948,-0.03297179937,-0.5465248823
0.832061768,-0.02757263184,-0.4015350342,1.154223919,-0.3041396439,-0.04114956781
0.546585083,-0.2543182373,-0.7162322998,1.716354012,0.09375792,-0.1328517944
0.783386231,-0.1114196777,-0.3447723389,0.75734973,0.324166894,0.341002315
0.372253418,-0.1210021973,-0.6334838867,0.601156175,0.47353828,-0.4452339113
1.01940918,-0.04196166992,-0.843460083,1.316343784,0.063168317,-0.4390926659
1.28326416,0.504745483,-0.2821960449,0.649721026,-2.821465969,-0.2623778284
0.991500855,0.149963379,-0.5875091553,-0.5201119184,-2.934596777,-0.7364526987
0.621948242,0.154815674,-1.195632935,-0.6121265292,-5.76346302,-1.756493211
1.176071167,0.710632324,-1.370895386,-1.111994624,-3.793266058,-0.8567652702
0.55116272,0.430023193,-0.7866821289,-1.637226701,-5.248358727,-0.1750224084
0.947891235,0.357803345,-1.258255005,0.268230379,-1.844011307,1.241134048
0.051132202,-0.08360290527,-0.7864227295,0.414032877,-2.576828003,0.717138648
0.13218689,0.206268311,-0.5959320068,0.92351687,-1.662777424,1.540235519
0.038085938,0.108642578,-0.4126434326,0.586949527,-4.4523983,0.217446834
-0.1634674072,0.143600464,-0.6376037598,1.318764567,-1.398952365,1.76334393
-0.6687164307,0.046600342,-0.4598846436,0.744662464,-1.633946776,1.457592487
