AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ
0.1133880615,-0.5260009766,-1.070785522,0.04643434286,1.418172717,-1.208465815
0.1717376709,-0.4385070801,-0.8881378174,2.151214361,-0.3876481354,-1.773280144
-0.04173278809,-0.3248443604,-0.5366973877,1.194761753,-3.048348904,-1.515275002
0.1218566895,-0.4647369385,-0.4025726318,-1.371116996,-2.253987312,-1.388249159
-0.1210632324,-0.4454650879,-0.6008605957,-3.124748468,0.808056891,-1.241876245
0.5422515869,-0.771194458,-0.2750701904,-2.043819904,-0.9177476764,-1.261095405
-0.4136047363,0.07383728027,-0.02359008789,2.340241432,-4.626073837,4.053000927
-1.074966431,0.5306549072,0.1320648193,7.911337376,-8.646587372,9.917179108
-1.92640686,1.428955078,-0.08563232422,6.717571259,-4.348911285,14.7864666
-2.936859131,1.344497681,-1.633010864,4.626316547,0.8597589135,13.05209637
-3.432357788,0.1063690186,-1.848937988,3.365606785,6.982625008,6.4840312
-2.807723999,-0.5841064453,-0.7411804199,1.04582417,5.096297264,-1.861846566
-2.058578491,-0.2341461182,-0.008865356445,-2.738265753,2.556727886,-7.9124403
-1.214782715,0.5178070068,0.1636810303,-3.196157455,0.4823168516,-6.857997894
-0.3222961426,1.118911743,0.1051635742,-0.4595436156,-3.318180084,-4.081949711
-0.4245147705,-0.2056884766,-0.1371002197,-2.682172537,-1.472476959,-6.839967251
-0.5764770508,0.5938873291,-0.1889190674,-2.730114222,-0.5831009746,-2.11274004
-1.192871094,0.3776550293,-0.134765625,-0.7851174474,-1.013802886,-1.13036406
-1.252197266,-0.04901123047,0.03155517578,-1.071243525,-1.222254038,-1.085818172
-1.300720215,-0.4632720947,0.3083190918,-3.089381456,-0.3707812726,-0.5240437984
-0.503326416,0.321685791,0.2877349854,-2.670773506,-0.6698268056,-2.393345833
0.3513641357,-0.06318664551,0.2354125977,2.453388691,-4.17428112,0.250623703
-1.381912231,0.615020752,0.4166107178,5.099530697,-3.612944603,4.425500393
-2.828674316,0.7470703125,0.05073547363,0.4240327775,-2.372455359,0.2188734859
-1.98059082,0.8769989014,-0.1858825684,1.724986434,-0.8759573698,-0.7599108815
-0.9465484619,0.0651550293,-0.02284240723,0.6457313299,1.950243473,-1.085406423
-0.4537200928,0.6765136719,0.3303222656,1.155947685,1.307585239,0.2425292879
0.05690002441,0.03674316406,0.5213317871,3.784067631,-0.1174810901,0.7705904245
-0.4449920654,0.0908203125,0.4041137695,1.945021868,1.04562223,-0.02457192168
-0.6172637939,0.3383178711,0.224029541,0.5241276622,0.3139704466,-0.5267578363
-1.09387207,0.2432556152,0.1631622314,1.526024103,-1.907651544,0.1746778041
-1.202453613,0.1417236328,0.08093261719,0.8235830665,-0.4659823477,0.4518620074
-1.741851807,-0.09071350098,-0.3052368164,-2.138700962,-1.103748202,-0.2833797932
-1.181091309,0.3165283203,0.254699707,-3.248060226,0.3733421564,-2.121063948
-1.35949707,0.3436889648,0.17527771,-1.814430594,0.9110389352,-0.6519730091
-1.070419312,0.3652801514,-0.09983825684,-0.7017754316,0.7552759647,-0.6670347452
-0.5841522217,0.2928771973,-0.07916259766,0.02388748899,-0.1657879055,-0.21794644
-0.4302825928,0.06739807129,0.1501312256,1.372254968,-1.105989695,0.4426389337
-0.5534210205,-0.06050109863,0.07814025879,1.639722109,-0.3887813091,0.3186251223
-0.8119506836,-0.01582336426,0.1364593506,1.024209976,-0.8757280707,0.0612479113
-0.9753570557,-0.02174377441,0.4162445068,1.132127881,-0.4354012609,-0.4077922702
-1.430587769,0.3827209473,0.8544006348,1.894193292,-0.5818623304,-0.6595848203
-1.501434326,0.153503418,0.26222229,-0.2467826158,-0.9620674849,-0.4807213545
-1.277679443,0.700668335,-0.1591949463,0.02660631016,0.02704466693,0.1324222237
-0.8339691162,0.09902954102,0.08563232422,-0.1646270305,0.4232665896,0.3508608043
-1.048080444,0.2158508301,-0.09234619141,-0.6355772614,0.716498971,0.1353980452
-0.6147766113,0.3080749512,0.08882141113,-0.5749900341,0.809016645,0.4454123676
-0.5816345215,0.05619812012,0.04393005371,-0.692750752,0.8024202585,0.4130488336
-0.7240142822,0.07803344727,0.1807098389,-0.4359914362,0.5176995993,0.5084187388
-0.8611450195,-0.06803894043,0.1970977783,-0.6823322177,0.2366873771,0.4387573898
-0.9200897217,0.04347229004,0.1430511475,-0.9139779806,0.2626894116,0.4524542987
-1.249435425,-0.05766296387,0.195098877,-0.5568544865,0.2045302391,0.1036225334
-1.506484985,-0.04498291016,0.2386322021,0.02159983478,0.6370962858,-0.5051489472
-1.56829834,0.2090301514,-0.1714477539,-0.3404377401,-0.3118894398,-1.054055929
-1.127700806,0.6708374023,-0.132232666,0.0400198549,-0.0001025317033,-0.6192060113
-0.8990478516,0.6213226318,0.1049499512,1.206548095,-0.1569297016,-0.002333461773
-0.8513336182,0.0691986084,0.07894897461,0.6446613073,-0.4025866091,0.04982880875
-0.5425415039,-0.01145935059,0.1222076416,-0.2113596499,-0.5636668205,0.02851792797
-0.6055908203,0.04682922363,0.1165008545,-0.5446052551,-0.2498548478,0.08322618157
-0.8045196533,0.0348815918,0.09689331055,-0.3190394938,-0.06291078776,0.1334280968
-0.8814086914,0.0394744873,0.09953308105,-0.2297905833,0.2530857921,0.1244636327
-1.033981323,-0.2019042969,0.4318389893,0.3477752805,-0.1518627703,-0.197390303
-1.573944092,0.1586151123,0.6169433594,0.9534769058,-0.7156795263,-0.1223789081
-1.670166016,0.1393127441,0.1999816895,-0.9626514912,-0.7725465298,-0.1848377585
-0.7654571533,0.5553894043,-0.29637146,0.2978484631,-0.0763437748,0.11900042
-1.126358032,0.2633209229,0.04144287109,-0.3707098961,0.07296901196,0.3297880292
-1.009475708,0.2574005127,-0.1111755371,0.06728396565,0.3623454273,0.2920963168
-0.6847839355,0.2270355225,-0.004898071289,-0.2809089124,0.6201444864,0.4820406735
-0.6424407959,0.03622436523,0.1340942383,0.3402419984,0.579169333,0.5087471008
-0.7953338623,0.03198242188,0.1675415039,-0.03660488129,0.4341445267,0.5096994638
-0.8543548584,0.05558776855,0.1089630127,-0.514705658,0.2068756819,0.6425014734
-0.8860168457,0.04724121094,0.1554107666,-0.6250804067,0.3133030534,0.6347767115
-1.176269531,-0.005081176758,-0.004608154297,-0.8326380849,0.2445362359,0.2412365824
-1.529876709,0.01049804688,0.2286834717,0.1528241634,0.3360674977,-0.5307129025
-1.300369263,0.2956695557,-0.20703125,0.717348516,-0.4831408262,-0.8599120975
-0.9575042725,0.6287689209,-0.1369628906,0.5215902328,-0.1024174541,-0.556594789
-1.002410889,0.7483825684,0.1647186279,0.6895850897,-0.392585367,0.1042523682
-0.8873138428,-0.02578735352,0.1257171631,0.1583917737,-0.7904046178,0.02378762141
-0.6233062744,0.07931518555,0.1182403564,-0.186096102,-0.9633934498,-0.1091445982
-0.6079406738,0.0845489502,0.1363067627,-0.3289315403,-0.2072562426,-0.06794842333
-0.7334136963,0.07275390625,0.0411529541,-0.3518137038,0.2934438586,0.01603755541
-0.8342590332,0.0311126709,0.1679077148,-0.3506962359,0.4782741666,-0.002912699245
-1.229293823,-0.118927002,0.5719604492,0.390332073,-0.277326405,-0.1455023438
-1.514450073,0.2207641602,0.5000457764,0.798132062,-1.011983395,-0.08909206092
-1.669708252,0.3210754395,0.0871887207,-0.006248041987,0.467720598,-0.2212823182
-0.571762085,0.3026428223,-0.2085266113,-0.4802196026,-0.3781923056,0.1535245776
-1.064468384,0.2717285156,-0.01708984375,0.2166649252,0.620493114,0.07339405268
-0.8666534424,0.2984313965,-0.1453857422,-0.2092144787,0.7045688033,0.2890773416
-0.6819152832,0.03016662598,0.1716156006,0.1236779988,0.3550528884,0.4624382257
-0.7034454346,0.03364562988,0.08522033691,0.4945207834,0.357560277,0.3695194721
-0.825668335,0.1197357178,0.1363220215,0.2275202423,0.3209050596,0.476709038
-0.9480743408,0.1087799072,0.09182739258,-0.1889882982,0.4016800523,0.5483003855
-0.9359130859,0.129486084,0.1449432373,-0.5456782579,0.5193659663,0.4635242522
-1.320922852,-0.06945800781,0.1170349121,-0.5592502356,0.4164635241,-0.07317274809
-1.780563354,0.1594085693,-0.163482666,0.4493090808,-0.6208561063,-0.8861846924
-0.9042816162,0.3885498047,-0.1837158203,0.1725238413,-0.2737266123,-0.9257925749
-1.006225586,0.7617034912,-0.0287322998,0.1734820455,-0.3267922401,-0.3641337454
-0.9822998047,0.2481079102,0.06997680664,0.3703977764,-0.4768155515,-0.03303065524
-0.6983184814,0.04959106445,0.06205749512,0.1428152025,-0.4839328527,-0.06546156108
-0.6305389404,0.07901000977,0.1559753418,0.2601633966,-0.6661524773,0.006660565734
-0.780380249,0.06132507324,0.1020965576,0.03744804114,0.04944904149,0.08723183721
-0.777557373,0.03965759277,0.1201171875,-0.037256293,0.2518900335,0.09364792705
-0.986328125,-0.1494750977,0.421005249,0.2499797493,-0.2627706528,-0.2439974844
-1.486083984,0.2538146973,0.5377960205,0.4532537758,-0.4454301894,-0.2842149436
-1.620819092,0.1070709229,0.1907958984,0.1360292137,-0.332157433,-0.2845148146
-0.9421234131,0.5406036377,-0.3604431152,0.03824166209,0.0284169931,0.09953484684
-0.8970031738,0.1792297363,-0.02534484863,-0.3066067994,-0.1212334856,0.2501499057
-0.9667663574,0.2347412109,-0.1847991943,-0.1899776608,0.1582218558,0.2391452044
-0.7709655762,0.2850189209,-0.1015625,-0.1835501194,0.4279452264,0.4422690272
-0.634979248,0.003173828125,0.2237091064,0.4115974009,0.5162425637,0.4630163908
-0.7871246338,0.06860351563,0.1262359619,0.1968752444,0.4475498199,0.4310776293
-0.9013977051,0.09346008301,0.1279754639,-0.4337282777,0.3483454585,0.6089131236
-0.8946685791,0.08485412598,0.09426879883,-0.3906106353,0.4574615657,0.6540079117
-1.140274048,-0.00358581543,0.113861084,-0.4838947654,0.5865889192,0.3339500129
-1.576797485,-0.1272583008,0.1684417725,0.3439150155,0.4158294201,-0.57062006
-1.408096313,0.2898101807,-0.2372894287,0.6744806767,-0.4366782606,-0.8641132116
-0.7922973633,0.5662841797,-0.1880493164,0.1663237363,0.02101447061,-0.8682397604
