AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ
0.05848693848,0.02714538574,-1.359313965,0.5995792747,3.059517145,0.2456065714
0.06669616699,0.002868652344,-1.145202637,3.718776941,0.2204452902,0.4377504289
-0.2890167236,-0.4634399414,-0.4866638184,0.3604031801,-4.227332592,-2.389440775
0.2265014648,-0.367980957,-0.7572021484,-1.8716259,1.425367236,0.006456301548
-0.106842041,-7.63E-05,-0.7654876709,-1.494791865,-1.69307673,1.350693464
-0.71043396,0.06205749512,-0.8216247559,0.2752802968,-5.491213322,2.746825457
-0.6034240723,0.3143463135,-0.4010620117,-0.5458771586,-4.964662075,2.032242298
-0.7989959717,0.7303314209,-0.3341064453,0.994749248,-7.038150311,4.064108849
-0.5804290771,1.210128784,-0.09748840332,2.837841034,-8.464112282,6.680179596
-1.732559204,0.9751739502,0.2135162354,0.6877053976,-2.510782242,6.822508335
-3.106445313,0.2264556885,-0.3659667969,1.719665408,-2.506877422,2.505932331
-2.517807007,-0.1832733154,0.2081451416,1.54369843,-0.7513837218,-0.8029515743
-1.277053833,-0.2805023193,1.073059082,0.060282249,-1.540702581,-2.426620245
-0.4372711182,-0.03369140625,0.9833068848,-0.6783201694,-1.357267499,-2.706134081
-0.880569458,0.441696167,0.1211090088,1.111972809,-0.7976987362,-2.66732955
-0.5855255127,0.5770568848,0.07048034668,1.969985485,-0.9379530549,-1.22792387
-0.3444976807,1.155151367,-0.0225982666,3.036948442,-2.531785727,0.5603413582
-0.9275512695,1.014938354,-0.03811645508,0.2406301796,0.5959882736,0.5769940615
-0.8655090332,0.8679656982,-0.0891418457,-0.9209237695,1.707251072,1.507884979
-0.8980865479,0.6450500488,0.2220001221,-1.324390531,2.131629705,1.987247348
-0.6739044189,0.5076446533,0.2145843506,-0.6560516357,-0.09159623086,2.304946899
-0.8037414551,0.2881317139,-0.05184936523,0.3946485221,-1.108960271,2.499251842
-0.8531646729,0.4652557373,-0.1080169678,0.912997365,0.6661066413,1.990908623
-0.5985107422,0.8548126221,0.060546875,0.557736516,0.7333642244,0.8013379574
-0.5038757324,0.8294067383,0.02987670898,0.8743144274,0.30507496,-0.2887545824
-0.3879852295,0.8152313232,0.3529968262,-0.1677490473,1.882026672,1.392576814
-0.5091400146,0.7967224121,0.1840667725,-1.216307521,2.07449913,3.268445492
-1.119125366,1.363739014,-0.2105712891,-0.5726797581,-0.1355218738,0.8008548617
-0.9268035889,1.146713257,0.154876709,-1.760626674,-0.5851854086,-1.712871194
-0.4127807617,1.044998169,0.02793884277,-1.118081808,-0.2147788852,-3.145048857
-0.1279449463,1.006866455,0.4669952393,-2.349656343,-0.5407817364,-0.5519893765
-0.44140625,0.8211975098,-0.148147583,-1.143151522,0.2268320769,-0.09880381078
-0.1632995605,0.688949585,-0.03407287598,0.07628198713,-0.6080713272,0.004728176165
-0.1731719971,0.4402313232,-0.01313781738,1.24601078,-1.143412232,1.318894029
-0.324508667,0.3788452148,0.2142028809,1.280661464,-1.974023938,2.235871315
-0.5504150391,0.8575897217,1.128860474,-0.5789269805,0.2644127309,0.5579551458
-0.626159668,1.915985107,0.1981811523,1.399123907,2.316490412,0.3450860083
-0.008666992188,1.636825562,-0.5256958008,0.9994433522,0.518953681,0.5169704556
0.08404541016,0.4128570557,-0.1449127197,0.1325431317,-0.3887320459,1.164622426
0.07794189453,1.264633179,-0.3094787598,1.041356683,-0.2997545004,2.219604969
0.03901672363,0.9859466553,-0.1959381104,2.37104845,-0.7331655622,1.027006745
0.0576171875,0.8241577148,-0.03868103027,2.513282299,-1.776699185,0.9979913831
0.01652526855,0.9077453613,0.262512207,1.856582999,-2.555878639,1.451970816
-0.01078796387,0.9345245361,-0.05223083496,1.625497699,-2.45299077,1.911174893
