accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z,Timestamp
-0.2886352539,-0.06571960449,-1.009246826,-0.04161721841,-0.2775754333,-0.2773706317,1733165920
-0.2753295898,-0.02076721191,-0.928527832,0.4927969277,-0.8527127504,0.07813555002,1733165920
-0.3585205078,-0.0454864502,-0.7922668457,-0.5381652117,0.4115105867,0.09849461168,1733165920
-0.2722320557,0.04652404785,-0.7942047119,-0.4667365551,-0.6600205302,0.02448723279,1733165920
-0.2850952148,0.1067352295,-0.6947784424,0.1192733943,-2.885928392,0.6048067808,1733165920
-0.2955322266,0.2280273438,-0.6776428223,-0.7533059716,-0.8265684843,1.435791135,1733165920
-0.4013977051,0.2707061768,-0.8355865479,0.07587372512,-3.333959341,2.760577202,1733165920
-0.3821411133,0.3047637939,-0.8441467285,0.698225975,-2.984873295,2.667638063,1733165920
-0.4563751221,0.2907867432,-0.9336547852,0.9444607496,-2.57296896,3.386234045,1733165920
-0.7526702881,0.1938323975,-0.9897918701,1.899572611,-2.095649004,3.614314556,1733165920
-0.997177124,0.1437225342,-0.6311950684,1.291012287,-0.5638098121,3.37528944,1733165920
-1.190231323,0.1816101074,-0.5433044434,0.5686384439,-0.2179531008,2.355095387,1733165920
-1.372329712,0.1542816162,-0.4177246094,-0.361725986,-1.522124171,1.112784028,1733165920
-1.737609863,0.1718597412,-0.640335083,-1.047870517,0.6922413111,-0.7889177799,1733165920
-0.682434082,0.4498138428,-0.3964538574,-1.682770491,0.1284162998,-0.454910785,1733165920
-0.8124847412,0.4119110107,-0.7597045898,0.1886769682,-0.6737773418,-0.5468689203,1733165920
-0.5534820557,0.6728363037,-0.003509521484,-0.1892295778,-3.408518314,0.3438250124,1733165920
-1.122955322,0.6767425537,-0.6815643311,0.7843608856,-2.559410334,0.4022675455,1733165921
-0.4936676025,0.5667877197,-0.1995697021,-0.1308261901,-3.137361765,0.406798929,1733165921
-0.4427032471,0.4830780029,-0.06491088867,0.2765695453,-3.106468916,0.3378555477,1733165921
-0.3315429688,0.4345550537,0.05665588379,0.1076859832,-2.311726093,0.7596147656,1733165921
-0.5283355713,0.2940368652,0.2085418701,-0.5412731171,0.03905019537,0.444848299,1733165921
-1.243743896,0.5339508057,-0.007949829102,-0.6752175689,0.2384783477,-0.4877978861,1733165921
-0.8731384277,0.7119293213,0.4723968506,-0.4073110521,-0.243171379,-0.3920625746,1733165921
-0.9677276611,0.839553833,-0.1957702637,0.3194126189,0.0486708656,-0.8662783504,1733165921
