AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ
0.1921844482,-0.5539093018,-0.7593994141,-0.02343421988,-0.07937657833,-0.04231709614
0.2023925781,-0.5697784424,-0.7205352783,-0.2062370628,-0.539188385,0.04012185335
0.1489715576,-0.5587768555,-0.8593597412,0.4515408278,0.1748756766,-0.0904886201
0.3071594238,-0.5534210205,-0.6187286377,-0.6270790696,0.3489225805,-3.70E-05
0.1928710938,-0.5501861572,-0.783996582,-0.8081610203,0.0240281038,-0.2607538402
0.1676635742,-0.4911651611,-0.9702758789,0.1504283845,-1.81972754,-0.6010693312
-0.05833435059,-0.3059844971,-0.7335662842,-0.536352396,3.577107906,0.01440397277
0.2050018311,-0.5409240723,-0.6953430176,0.298269242,-0.6033042669,-1.393819094
0.9526672363,0.02072143555,-1.06388855,-2.245019674,-0.4374740124,2.480401993
0.2286529541,-0.1232147217,-1.005447388,-0.7520418167,-0.4026550353,4.089857101
0.08312988281,-0.3856658936,-0.5456542969,2.045911074,-5.957169533,2.531278849
-0.05253601074,-0.1955566406,-0.3612213135,0.360250324,-4.309281826,2.773401022
0.1648254395,-0.2462158203,-0.8434906006,3.087181807,-4.12138319,5.128406048
-0.4006500244,-0.00244140625,-0.6132965088,4.528548717,-3.714469433,6.318830013
-1.039810181,0.2969970703,-0.271484375,5.294576645,-2.186402559,6.665185928
-1.539703369,0.4053955078,-0.05851745605,5.435044765,-0.7709238529,5.845473766
-1.458999634,0.8143615723,0.1820220947,4.5230546,-0.2977392673,4.780857086
-1.226806641,1.022277832,-0.02168273926,3.867335796,-0.05256414041,4.228102684
-0.7353210449,0.6600189209,0.07803344727,0.4846796095,0.7382628918,2.836548805
-0.3707275391,0.8680267334,-0.283706665,0.6969920993,-0.8454172611,3.163391829
-0.2670288086,0.8447113037,-0.2364807129,-0.008958607912,-2.117132902,3.782869577
-1.282806396,0.741394043,-0.2785186768,-1.313829541,0.5994261503,1.830602884
-0.4590454102,0.7669525146,-0.01718139648,-1.021273494,1.289706111,0.3719551861
-0.4303894043,1.165588379,0.1789703369,-1.721970081,0.9624496102,0.6727280617
-0.8393554688,1.109649658,-0.06504821777,-1.932915092,0.5634199381,0.04144570976
-0.4849243164,0.9883117676,-0.1293792725,-2.18073678,-0.9523341656,1.04191649
-0.4334869385,1.012237549,-0.3261260986,-0.5196692944,3.225605249,2.411807299
-0.1623077393,0.7386474609,0.3011169434,-0.7521320581,-0.1817868352,-0.7037557364
-0.4205627441,0.7304229736,0.1186523438,-0.5521406531,0.1100676507,-0.6515407562
-0.3129425049,0.8183288574,0.1559143066,-0.6156021953,1.021288753,0.0664562583
-0.1490783691,0.7247161865,0.2177886963,0.05130313337,0.6400247216,0.3980541527
-0.2726593018,0.7070465088,0.1909637451,0.2674956322,0.4148342013,0.2551992834
-0.4392242432,0.872467041,0.2773132324,0.1150283217,0.1196153462,0.01994281448
-0.368850708,1.109664917,0.4712219238,-0.2753042877,-0.1081605554,0.4904243052
-0.2663879395,1.412811279,0.6354370117,0.3459776342,-0.595177114,0.1363884658
-0.8390655518,1.457015991,0.1067352295,-0.594363749,0.1329737604,-0.3451861441
