accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-0.07175092,-0.034179625,0.062482467,-0.080329932,0.02491219,0.049118526
-0.083900518,-0.039158583,0.054983052,0.025015283,-0.130523577,0.04148145
-0.109316115,-0.051909051,-0.223501297,-0.039810665,-0.089200668,0.076822758
-0.042865447,0.049011868,-0.135898417,-0.058733705,0.049656224,0.020716239
-0.00772147,0.01156272,-0.021078444,0.013092999,-0.045425307,0.008736895
-0.037676756,0.048025488,-0.112669517,0.172075257,-0.025668193,0.042105466
0.046643112,-0.063048577,-0.016458967,0.00901737,-0.015352053,0.013383424
0.013826509,0.040214814,0.021051556,0.016284008,-0.014960738,0.000548821
0.027735637,0.118138888,0.051668812,0.325457275,-0.140051141,-0.070991755
-0.164629019,0.084930154,-0.060211015,0.452453375,0.047550097,-0.134418696
-0.03434868,0.269629426,-0.51958443,0.162181109,0.032171488,-0.225532875
0.398356417,-0.283691854,-0.094250063,-0.356505424,0.129908234,-0.0175828
0.092392854,-0.025939912,0.183814599,-0.349113494,0.116381295,-0.163092285
0.094227294,0.013106442,0.018625205,-0.105214767,0.138299972,-0.034992758
0.342636174,0.012871757,-0.019109774,-0.030496635,-0.214007661,-0.084116437
-0.015408933,0.130895202,-0.172917942,-0.173115745,0.169163302,0.029765828
0.087127481,-0.027166824,0.060074822,0.056778286,-0.2576316,0.049452975
-0.245710498,-0.009169103,-0.107082072,0.031128539,0.045689978,0.053487234
-0.091859095,-0.215134451,-0.043614101,-0.12340188,0.044080183,-0.01967378
-0.118466303,0.019064474,0.009985387,0.027988451,0.051836759,0.016474783
0.052365782,-0.018063188,-0.08988953,0.012571593,-0.108199254,0.034266055
-0.119166103,-0.006143325,-0.13386545,-0.074805036,0.137980968,-0.024900086
0.045803624,-0.108955173,0.105006435,0.015420917,-0.123830691,-0.007179323
-0.158169852,-0.014192191,-0.012250994,0.00528401,0.013966229,-0.034496956
-0.008290026,-0.029726153,0.042446811,-0.024390943,-0.031444166,0.007024191
-0.059558127,0.043942602,-0.157978147,0.043605216,0.021826148,-0.037676137
-0.028792073,-0.051966919,-0.103028997,-0.043444932,0.224118695,-0.080325566
0.247820677,-0.106861123,-0.29307986,-0.214003474,0.141465828,-0.219692573
-0.404576132,1.109888995,-0.926419264,0.020721057,-0.447966039,-0.416258603
-0.770624307,1.941584149,0.030560558,0.509229243,-3.336391211,-1.522426248
1.777078793,0.020676585,1.848428311,0.385728777,-0.130983204,-2.885622501
-0.532456333,-1.162183246,0.785814862,-0.788582385,-1.23556304,0.726748347
-1.27904963,-0.478931225,1.387106685,1.017239451,-2.060196877,1.734175563
2.39885124,0.752719525,-0.154378661,1.357970357,-3.049818754,2.553774595
1.631436834,3.779355457,1.919178841,3.156546116,-4.262721539,3.816874027
2.574635969,3.938670698,0.116879244,3.689857721,-6.240014553,4.156155586
-0.01907821,3.266642082,-1.654499584,3.093241453,-3.276065588,5.049409866
-1.205076047,1.065365305,-2.996957126,4.109890461,-1.165349126,4.674120426
-2.046936036,-1.983098793,-2.727756154,2.620338202,-0.710225999,4.018418312
-3.811296071,-2.828510484,-0.452546784,2.360964775,-0.47929731,2.621134281
-3.616123043,-3.171140849,1.035042794,0.373485774,0.80897224,0.772206068
-3.660730831,-0.780745011,7.375065827,-2.911650658,2.479894638,0.279185325
3.118154232,2.364821252,2.964544802,0.765136838,-2.373156548,0.306311518
0.109672673,-0.632898383,-1.529292803,1.306033492,0.519856989,-2.748345613
-2.892247628,1.787325023,-4.323867992,-0.822508693,3.844197035,-1.706087947
0.525671057,0.923093919,1.456792507,0.112878032,-0.52684015,-1.35006249
-2.797305491,1.108327883,-2.254059614,-0.794298291,-1.709668994,-0.483846724
1.017650272,0.760410225,2.91010068,0.086875565,-1.549947381,-0.359222829
-0.783883017,-0.093910456,0.906013021,0.603522837,-1.885344625,0.73765254
-2.000146813,0.310514394,0.342175607,1.018643379,-0.64366585,-0.065169282
0.968748586,1.446420459,1.974459998,0.777003646,-0.289660782,-1.026296258
2.547459208,1.017606287,2.243386245,1.902104139,1.248364687,0.248785034
4.254700348,-0.339282662,2.200215212,0.342011094,0.294175476,-0.037639171
2.217713459,-0.483504086,1.276991528,0.339733899,-2.200777054,1.771796703
-2.401232874,-5.339397034,-3.829225111,2.174345732,-3.516047239,7.258346081
8.68960938,-3.640238663,-3.238908271,0.705357134,-1.100303173,4.622940063
-0.618681349,6.21006577,0.975111034,1.624055862,-0.373814672,0.891067267
1.436302385,3.328917628,0.691198304,0.715386808,1.362616658,1.699330926
0.975100878,-2.253820545,0.416166142,-0.98369205,2.501404047,4.377260685
11.80468377,-2.167399568,-5.56595655,-5.226034164,2.662201881,4.822274685
-3.56786024,6.697275286,-2.860458697,-0.506487608,0.685967743,0.715311945
-1.638888612,4.812749242,-2.965484129,0.223557606,-1.537189245,-0.320817977
-0.171124848,1.271027652,0.822803261,0.763223529,0.795942962,-1.997819066
-2.183072354,2.087200242,2.166594535,0.422863454,0.702564895,-0.424386621
-1.236094578,3.712371002,-0.153912797,0.124637589,0.758816361,-2.46246767
0.967865081,-2.286440374,-0.544342001,-0.446191013,0.376256615,-1.076902747
3.225964619,-2.132205505,0.8657003,1.20794487,1.294649839,0.490422934
1.388382404,1.453860838,0.352619808,2.4811759,1.185609937,0.526624322
0.839728238,0.890936448,1.033725208,3.520482063,0.184695408,-0.480378777
0.685177436,-1.70971133,3.143939831,4.148779869,1.757024288,-0.277721584
-1.195438158,0.212149297,-1.495530234,1.066670537,-0.099830918,-0.498627365
-0.34800709,0.187641464,-2.403060674,-0.374006987,0.436902106,-0.544319391
0.812846661,-0.946108884,-0.802561999,-0.048778404,0.685038745,-0.42143333
0.275090322,-0.025132103,-0.890228007,0.138046652,0.446784645,-0.187807426
-0.601803864,-0.334462256,0.08536007,0.085175142,0.600244224,-0.394910365
-1.436687,0.189922852,1.290929453,-0.316649795,0.432761163,-0.620237947
