accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-2.81068,1.992058,24.4223,-1.9929,4.680412,0.538408
-6.69585,6.466748,6.279283,-0.58261,-0.62073,-1.06252
-4.18574,-2.40215,-2.82282,-0.86885,0.991035,-0.04029
-3.65411,14.94317,-3.07852,-0.7181,-2.3391,-2.01254
0.613227,-2.70416,-7.43688,2.299105,-2.62328,-0.38395
1.263121,2.57383,-6.96309,3.298234,-0.70591,0.092848
3.803834,4.723484,-5.86671,2.622219,0.406804,0.501316
4.556376,0.694162,-3.51955,2.200151,1.401406,0.832904
3.253883,-4.64232,3.524955,4.040974,-3.56433,1.316478
0.847548,-3.31508,3.941219,1.86258,-4.24185,1.536232
-0.84806,-2.4572,1.806628,1.637402,-0.57767,0.773463
0.539362,-0.39814,2.063447,2.705878,1.55727,-0.11284
0.593852,5.788472,8.85008,2.584123,-0.26881,0.423368
2.530105,6.454691,5.806268,-2.05497,-2.33734,0.044357
3.344172,8.263119,2.764616,-0.28031,0.045982,-0.09072
2.851353,3.888541,6.056069,-4.41127,2.755491,0.166212
0.080432,4.929485,-4.03449,-3.79739,1.936912,-0.59065
-1.13387,6.055325,-7.07037,-2.62627,-1.67177,-0.89157
-2.66317,1.850544,-5.8008,-2.79151,-1.87187,0.327419
-2.53216,-4.85392,-4.39537,-2.71463,0.892432,0.290266
-0.85399,-6.62618,-5.52432,-2.64131,2.283753,-0.7719
0.231699,-4.73412,-7.70371,-0.96837,0.137206,-1.00301
1.203345,-3.5494,-7.16537,1.657856,0.375274,0.245449
2.243546,-2.70688,4.992933,1.419141,5.299259,0.852007
-1.04968,9.870746,8.839201,-0.49439,0.345668,-0.42745
-5.55799,-1.78897,1.016721,-1.72875,-0.59676,-0.10263
-4.35764,2.462797,0.486513,0.544625,3.907299,-0.13331
-1.33462,6.792073,-10.4457,-0.25996,-6.26279,-0.64948
0.488727,-0.68576,-8.04791,2.396319,-2.38698,-0.01227
0.663485,2.932902,-6.89466,2.690644,-0.84046,-0.39712
2.775503,3.018465,-5.30186,2.46057,1.439441,-0.03797
3.59392,-1.8474,-0.41305,5.025454,0.589668,0.377016
2.981167,-4.13398,5.506483,2.367566,-2.74449,1.153686
-0.10899,-2.44446,1.454826,0.953378,0.24914,1.29528
-0.22927,0.336794,0.889107,2.61737,1.13639,0.376034
0.096298,1.84126,2.334171,2.319905,0.964559,0.523657
1.103814,7.645244,16.99709,-0.47647,-0.09204,-0.04823
2.430992,6.331936,1.728224,-1.69287,-1.84229,-0.22216
1.609565,2.794101,5.751138,-1.0235,0.574766,-0.20696
2.254415,2.07153,0.100245,-4.75894,2.791682,-1.03468
1.860317,6.647863,-5.58143,-3.37279,-0.17961,-0.51853
-0.83115,5.040818,-5.93739,-2.42778,-2.56439,0.041613
-2.11554,-0.08035,-4.59645,-2.08598,-1.20503,1.229533
-0.92,-4.83901,-3.18117,-2.05519,2.500433,0.320093
-0.6135,-4.94207,-6.48612,-1.75207,1.448228,-0.43699
0.03144,-4.71033,-7.24949,0.0053,0.542989,-0.10456
0.437594,-5.02007,-5.38544,2.334908,0.656352,0.43141
-1.18835,-0.14127,17.62909,-1.68076,4.729567,0.047473
