accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
0,0,0,0,0,0
-0.85184485,4.034299,8.642876,-0.19960007,-0.3262018,-0.042760536
-0.8662018,3.952943,8.977871,-0.22647811,-0.11362085,-0.05986475
-1.0576276,3.7088752,8.810373,-0.10797035,-0.035430156,-0.10995566
-1.3878372,4.0007997,9.0544405,-0.1262963,0.06597339,-0.062308207
-1.847259,4.3501515,9.006584,-0.159283,-0.11362085,-0.20891576
-1.6558332,4.168297,8.963513,-0.22769985,-0.23335035,-0.26389357
-1.1916257,3.4983068,9.030513,-0.31444263,-0.22968516,-0.19181155
-0.81834537,3.938586,9.82493,-0.3046688,-0.46425724,-0.3103193
-1.1294123,3.1154552,8.853444,-0.51358455,-0.18692462,-0.33964083
-0.526421,2.6943183,9.193225,-0.055435978,-0.41050112,-0.19303326
-1.2969099,3.3690944,9.193225,-0.24113888,-0.13072506,-0.25778493
-1.2394822,2.6416762,9.064013,-0.072540194,-0.46059203,-0.08796453
-0.23449662,2.8187451,9.274581,-0.018784093,-0.4508182,0.015882485
-0.45942193,2.8713872,9.399008,-0.18127412,0.17470732,-0.098960094
-0.971486,2.6512475,9.413364,0.12415826,0.050090913,-0.10506874
-0.7800602,3.1728828,9.12144,0.13271037,0.14294235,0.02932151
-0.8135597,2.7038896,9.52822,0.05818487,0.043982264,-0.10384701
-0.6891329,3.1441689,9.12144,0.047189303,-0.0012217296,-0.09529491
-0.86141616,2.804388,9.41815,0.017867794,-0.017104214,-0.0048869182
-0.5694918,2.9431717,9.260223,0.03619374,0.0012217296,-0.0012217296
-0.6795616,3.0819557,9.332008,0.066736974,0.062308207,0.012217295
-0.7178468,3.0819557,9.241081,0.045967575,0.073303774,-0.03176497
-0.7609176,3.1537402,9.140582,0.09728022,-0.02687805,-0.0048869182
-0.66041905,3.1441689,9.241081,-0.020005822,0.0097738365,0.0012217296
-0.8135597,3.1537402,9.274581,-0.028557928,-0.042760536,-0.034208428
-0.6364908,3.1728828,9.456435,0.052076224,-0.043982264,-0.013439025
-0.83748794,3.2350962,9.212367,-0.0016798781,0.07086031,-0.034208428
-0.47856453,3.4073794,8.958728,-0.045662142,0.008552107,-0.0048869182
-0.74177504,3.1393833,9.327223,-0.1018617,0.080634154,-0.008552107
-0.8757731,3.225525,9.38465,-0.0065667965,-0.056199558,0.021991132
-0.6412765,3.0675986,9.131011,-0.033444848,0.16126831,0.06963859
-0.8039884,3.2063823,9.241081,0.039858926,0.092851445,0.018325943
-1.0001999,2.9671001,9.537791,-0.0029016077,0.04886918,-0.02443459
-1.0145568,2.7948167,9.504292,0.14492767,-0.17959425,0.086742796
-0.4833502,3.345166,9.202796,0.07895427,0.16126831,0.15638138
-1.2586247,3.1489546,8.977871,0.06551525,0.05497783,-0.02687805
-0.9810573,3.0675986,8.63809,-0.24358234,0.086742796,0.098960094
-0.47377887,3.0675986,9.504292,-0.1470657,-0.056199558,0.12950334
-1.1916257,3.2398818,9.150154,0.2035707,-0.21380267,0.012217295
-0.4354937,3.196811,9.150154,-0.05421425,0.16982041,0.13316852
-0.5168497,3.1872396,9.389436,0.12415826,-0.15027274,-0.07696896
-0.72263247,3.4648073,9.413364,0.11438443,0.06597339,-0.13927718
-1.430908,3.6083765,9.15494,-0.25213444,-0.03054324,0.27366742
-0.44027936,2.8378878,8.537591,-0.2790125,0.16737695,0.36407542
-0.43070808,3.0149565,9.107083,0.11071924,0.30298892,0.43493572
-1.0815558,3.522235,10.207782,1.7942625,-0.957836,0.31398448
0.062213387,3.8668015,8.949157,2.5505133,-0.3420843,0.19547673
-0.22492532,6.2931237,8.85823,3.8675377,-0.19914192,0.06963859
0.9619147,6.6089764,5.680561,3.920072,-0.5033526,-0.16982041
0.90448695,8.269595,4.8526444,4.20107,-0.9297362,0.06597339
1.3878372,8.360522,2.6273193,5.2871876,-1.3976586,0.3762927
1.0767702,9.150154,-0.40677986,5.289631,-1.4807363,0.47280934
1.0815558,9.255438,-2.8761728,4.6763225,-1.2449424,0.34086254
-0.038285162,8.532805,-5.3742795,4.336682,-1.1679734,0.39950556
0.8135597,6.771688,-7.9106717,4.0226974,-1.011592,0.43127054
-0.71306115,6.9583282,-8.020741,2.5944955,-0.5754346,0.32986698
0.7082755,4.6468616,-9.379865,2.4588835,-0.11728604,0.17837252
-0.41156548,4.130012,-9.509077,0.7020363,-0.20769402,-0.015882485
0.6987042,4.0773697,-10.092926,-0.6101012,-0.14905101,-0.25534147
0.41635114,4.8861437,-8.149954,-0.6174316,0.29077163,-0.33231044
0.56470615,4.4602213,-8.413164,0.319635,-0.040317077,-0.24068072
1.0767702,4.0534415,-8.60459,0.6372847,0.22113305,0.09040799
0.5838487,3.0149565,-8.920443,0.3318523,0.06475167,0.098960094
0.55034924,4.551149,-8.805588,-0.24113888,-0.05742129,-0.18448116
0.4977071,4.0869412,-9.317652,0.16203189,0.1075122,-0.09651663
0.4211368,4.173083,-8.891729,0.3819432,-0.106290475,0.13072506
0.6029913,3.4887354,-9.49472,1.0294598,-0.0036651888,0.17348559
0.3062813,3.1680973,-8.915657,0.79000086,-0.012217295,0.015882485
0.31106696,2.861816,-9.533006,0.27198756,-0.037873615,0.086742796
0.5455636,2.4215364,-8.863015,0.5542071,0.09651663,0.17348559
0.35413775,2.2301106,-9.202796,0.57864165,0.037873615,0.41172287
0.94277215,2.0003998,-10.4566345,0.41126472,0.478918,0.2614501
0.79441714,-2.3928227,10.193424,0.26465717,-0.13683371,-0.100181825
0.91884387,-1.8711873,9.710074,-0.159283,0.02687805,-0.0097738365
0.81834537,-1.8089739,9.777073,0.11194097,0.047647454,-0.08552107
0.94277215,-1.6749759,9.360723,0.05574141,-0.039095346,0.07941242
1.1102697,-1.5457634,9.968499,0.24022257,0.04886918,-0.086742796
1.0480564,-1.8424734,9.064013,0.21334453,-0.08185588,-0.03176497
1.0049855,-1.564906,9.403793,0.15592323,-0.16859868,0.032986697
1.0289137,-1.5840486,9.533006,0.2121228,-0.06108648,0.0073303776
1.1772687,-1.3208381,9.078369,0.24388777,-0.06475167,0.05131264
1.2490535,-1.5984055,8.968299,0.38805184,-0.10995566,0.08796453
1.5170496,-1.4548361,8.1738825,1.091768,-0.5754346,0.11117739
1.9812572,-0.32542387,3.4887354,4.2536044,-2.1759005,0.4386009
5.096712,1.1724831,5.656633,5.6659236,-2.5937319,0.62919074
4.685147,0.29192436,2.1104696,5.65615,-3.3047786,2.0097451
7.838887,2.9240294,3.952943,5.226101,-3.307222,2.959029
10.57149,3.010171,3.306881,4.030028,-1.3060288,3.9767296
12.41875,3.7950168,2.4358935,2.0789256,-0.68050337,3.3389869
13.1078825,4.790431,1.6701902,0.4735729,0.40561423,3.1154103
14.098511,4.7712884,2.5316064,-0.1434005,1.0812306,1.6688826
12.366107,4.139583,-2.062613,-4.4805403,1.4782928,-0.38117963
10.030712,-0.6412765,2.6225336,-1.5080724,0.194255,-0.0097738365
9.355937,-0.9954142,3.4839497,-1.1330014,-0.19058982,0.62919074
8.676374,-2.009971,3.2063823,-0.25824308,-0.54855657,0.9957096
9.504292,-0.8805587,4.4410787,-0.59544045,0.37262753,1.0396918
9.413364,-1.1724831,3.6514473,-1.2221878,1.400102,0.9773837
9.74836,-1.4117653,4.034299,-1.3932298,1.0384701,1.1215477
9.413364,-2.7900312,3.546163,-2.2899795,1.3072506,1.1484258
8.7673025,-3.751946,2.9718857,-1.4066689,1.5772529,1.6957606
8.843872,-3.9768713,3.0436704,-0.043218683,0.88941914,0.8344413
9.083155,-6.9056864,3.952943,0.2035707,0.091629714,0.67928165
8.451449,-3.8668015,4.8861437,0.9805907,0.51312643,0.53145236
8.676374,-4.4889355,4.2257247,0.008093959,1.4721841,-0.56810427
6.7381887,-5.575277,4.6707897,-0.40118545,0.8820887,-1.1875211
7.5086775,-5.058427,7.5469627,1.35444,0.5839867,-0.19914192
6.5659056,-0.7609176,5.8911295,1.5059344,0.433714,-0.7684679
7.63789,0.89491564,8.01117,2.3196063,-0.79045904,-2.054949
5.7762737,-0.29671,3.67059,-0.6430879,-0.26633704,-1.8545855
6.4031935,0.32542387,1.4069797,-0.6846267,-3.3768606,-2.6316054
7.6331043,-2.3688943,5.0823555,1.6171118,-3.1593926,-2.3432772
8.9348,-2.172683,2.9718857,0.47112945,-1.4599668,-0.03054324
10.145568,-1.8233309,-0.02871387,1.2762493,-2.073275,0.2480111
11.184053,0.7465607,2.0338993,0.51511174,-0.5717694,0.17837252
8.968299,0.3684947,0.8805587,-0.61254466,-1.1545345,1.5503749
12.031113,0.2440679,0.26799613,-0.6760746,-0.38973173,1.2046254
10.064212,0.13399807,-1.1676974,0.85475254,-0.7012728,0.51434815
9.896714,-0.71306115,1.0001999,-0.7664826,0.5094612,0.49235702
9.355937,0.44506502,0.17706887,-1.1085669,1.3891065,0.6902772
9.590433,-1.9573289,0.19142582,-1.1158972,0.67928165,1.6542218
10.025927,-3.0197423,2.1631117,-1.071915,-0.15515965,2.7659957
9.030513,-4.0390844,0.71306115,0.021532983,-0.100181825,0.0061086477
9.408579,-3.6658044,1.7946169,-0.045662142,-0.42882708,0.100181825
8.279166,-4.6803613,-0.1052842,-0.22892158,-0.0012217296,0.59498227
9.537791,-4.115655,-0.5694918,0.7447969,-2.660927,4.0732465
9.523434,-4.776074,-1.8711873,2.384358,-5.363393,5.949823
1.9477576,-5.0440702,3.9146578,3.7502515,-1.0311397,4.3041534
2.9240294,-7.408179,-0.3589234,-1.6778928,2.7818782,-0.08307761
2.6273193,-10.265209,-0.6795616,0.8816306,0.2357938,2.294408
1.0432707,-13.016955,0.2727818,0.31352636,0.3591885,2.3958116
3.6801612,-10.380065,-1.4213367,0.7166971,0.48869184,-0.5742129
1.9525433,-9.777073,1.1581261,-0.32177302,-0.124616414,-0.60597783
0.57906306,-9.614362,-0.5072784,-0.013897174,-0.12095123,-0.30665413
2.7326035,-6.8243303,0.32542387,-0.21548255,-0.7672462,0.020769402
1.7946169,-8.01117,-1.3591232,-0.25579962,-0.5546652,0.27855435
0.526421,-6.302695,0.9379865,-1.4579815,-0.95417076,1.1007783
-0.11006984,-5.8337016,-1.3591232,-0.95218545,-1.657887,1.4110976
2.210968,-20.233707,-2.07697,1.8443534,-4.260171,6.6327696
-4.3788652,-11.107483,1.268196,0.47112945,-0.74281156,-2.55708
-0.33020952,-7.5756764,0.44506502,1.2078323,2.697579,-0.77824175
-3.5126636,-10.097712,-2.1343977,-0.6479748,1.3927717,-0.39828384
-2.5411777,-9.781859,-0.20578274,-0.1470657,-0.79534596,-0.019547673
-1.8041883,-9.762716,0.5599205,-0.09697478,-0.45326167,0.124616414
-1.4644074,-9.561719,0.3684947,0.03619374,0.37018406,0.046425723
-1.9525433,-9.772287,-0.148355,0.12782346,0.056199558,0.02565632
-2.0434706,-9.461221,-0.18185452,-0.010231985,0.06475167,0.06475167
-1.9477576,-9.74836,-0.30149564,-0.2594648,0.12095123,0.106290475
-1.8664017,-9.475577,-0.11485548,-0.21670428,-0.10506874,0.05742129
-1.4691931,-9.504292,0.1052842,0.07040217,-0.3591885,-0.15149446
-1.995614,-9.504292,0.37328035,0.25243986,-0.18081598,-0.10384701
-1.6749759,-9.949356,0.05742774,0.35506517,-0.21991132,-0.24190246
-2.2348964,-9.470792,-0.038285162,0.0019853106,0.17959425,-0.074525505
-2.0817556,-9.729217,-0.019142581,-0.159283,0.14416409,0.018325943
-1.6893328,-9.489935,0.31106696,-0.10674862,0.26511532,0
-1.7850457,-9.499506,-0.08135597,0.03619374,0.27000225,-0.008552107
-1.4500505,-9.686146,-0.148355,0.010537418,-0.41538805,0.020769402
-1.5888343,-9.757931,0.51206404,-0.08842268,-0.5167916,-0.10262528
-2.0817556,-9.461221,0.44985065,-0.1470657,0.54611313,-0.13805544
-2.062613,-9.5665045,-0.2440679,0.107054055,0.14660755,0.008552107
-1.4356936,-9.882358,0.148355,0.028863361,0.09407318,0.056199558
-0.4977071,-9.135797,0.13878371,-0.42073312,0.6218603,0.20402883
-1.1724831,-9.652647,-0.038285162,-0.21670428,0.19914192,-0.2357938
-2.8139594,-9.657433,-0.72741807,0.20601414,0.20647229,-0.27977607
-1.6319051,-9.743574,-0.5694918,0.066736974,-0.5363393,0.17959425
-1.0145568,-9.71486,-0.18185452,0.04963276,0.045203995,0.0012217296
-1.5122639,-9.595219,0,-0.073761925,0.06475167,-0.023212861
-1.5026926,-9.710074,0,0.06551525,0.17959425,-0.015882485
-1.4883357,-9.74836,-0.08135597,0.050854493,0.1404989,-0.013439025
-1.6175481,-9.619147,-0.55034924,0.006872229,0.18570289,-0.035430156
-1.6845472,-9.614362,0.0047856453,-0.066431545,-0.05742129,0.0024434591
-1.3782659,-9.762716,-0.033499517,0.11438443,-0.12583815,0.02443459
-1.4739788,-9.585648,0.009571291,0.07040217,0.068416856,-0.008552107
-1.5457634,-9.729217,-0.14356937,0.014202606,0.036651887,0.012217295
-1.4979069,-9.614362,-0.0047856453,-0.029779658,-0.043982264,0.046425723
-1.4500505,-9.700503,0.0526421,-0.032223117,-0.0012217296,0.03054324
-1.5026926,-9.690931,0.0526421,0.011759147,0.046425723,0.0048869182
-1.6223338,-9.5665045,-0.02871387,0.03619374,0.16493349,-0.015882485
-1.6271194,-9.533006,-0.11006984,-0.033444848,0.067195125,0.010995566
-1.2394822,-9.499506,-0.047856454,-0.05054906,0.10262528,0.050090913
-0.9954142,-10.202995,-0.0047856453,0.09728022,-0.13927718,0.08918626
-0.9379865,-10.035499,-0.2536392,0.25610507,-0.1197295,0.010995566
-0.7896315,-9.786645,-0.82313097,-0.1556178,0.019547673,-0.062308207
-0.8805587,-9.853643,-0.34456646,-0.49648035,0.30298892,-0.24434592
-0.38285163,-10.140782,-0.66041905,-0.35231626,-0.2944368,-0.18448116
-0.15314065,-9.930214,-1.0193424,-0.48548478,-0.20402883,-0.20402883
0.148355,-9.60479,-1.9381863,-0.9472986,0.42760533,-0.6328559
-0.1052842,-10.576276,-1.2346965,-0.29000807,0.20891576,-0.9773837
0.85184485,-10.916057,-1.3974084,-0.16416991,-0.23212862,-1.1801908
-0.33499518,-8.269595,-0.07178468,-0.20448698,-0.3677406,-0.6780599
1.5409778,-8.236095,-0.70348984,0.3697259,-0.16859868,-0.41416633
2.1535404,-8.6141615,-1.2777673,0.29764387,-0.7892373,-0.17348559
0.55034924,-8.953942,-3.306881,0.10583232,-1.3793327,0.098960094
0.3684947,-9.083155,-3.5892339,0.18646647,-1.3658936,0.19547673
1.7611175,-9.016156,-2.7086751,0.20723587,-0.5839867,-0.04886918
2.9479575,-9.437292,-2.4789643,0.05329795,-0.6194169,0.028099779
0.61734825,-8.733803,-2.7756743,-0.0029016077,-0.87109315,0.16737695
0.7178468,-11.078769,-0.13399807,0.32696536,-0.87353665,0.15149446
-3.129812,-16.47219,-2.6512475,-0.10797035,-0.041538805,0.7159335
-1.8376877,-8.01117,2.053042,-0.13973531,1.0824524,0.26633704
-2.8235307,-7.365108,1.2634103,0.32330018,1.8215988,0.050090913
-1.7994026,-8.628518,1.2251252,-0.012675445,-0.9101885,0.9150754
-0.67477596,-12.016755,-0.6269195,0.41615164,-2.9113815,1.0372484
0.8709874,-9.135797,1.5170496,2.4527748,-1.8558072,0.5522218
-0.18185452,-8.949157,-0.2536392,0.17669263,0.9944879,-0.16493349
-1.3639089,-9.241081,1.0193424,0.29153523,-0.43127054,0.22357652
-1.3256238,-9.030513,1.416551,0.24877468,0.10384701,0.16249003
-1.3782659,-9.571291,1.1533405,0.21823144,1.1924081,0.21746786
-0.93320084,-9.810573,-0.19142582,1.575573,1.242499,0.11728604
1.7084754,-10.255638,0.6556334,1.0270164,0.3347539,0.31276277
2.0051854,-12.528819,0.46899325,-0.62476194,0.44959646,-0.010995566
2.4071796,-12.0023985,-0.4881358,-0.5526799,0.047647454,0.1075122
3.7567315,-11.021341,-3.0149565,-2.4109306,0.34697118,-1.3756675
-2.0003998,-13.887942,3.4887354,-3.2184937,-3.4452775,-1.6701043
-7.082755,-14.601004,2.254039,-3.5080438,2.3835943,-1.0421354
-3.938586,-8.020741,-0.66041905,1.7356195,0.042760536,-0.93584484
-0.038285162,-5.7284174,0.23928227,-1.1879792,-1.1643083,0.036651887
2.2588246,-6.7812595,1.5696917,-0.12018765,-1.8716897,-0.433714
-2.4646072,-5.2259245,-0.043070808,0.36606073,-1.0262529,-0.4166098
-4.2017965,-5.4412785,-0.8662018,0.8339831,-1.4086542,0.27122396
-0.22971097,-12.638889,-6.04427,1.6036727,0.21991132,0.5668825
4.4841495,-14.337793,-6.3314085,0.2866483,-0.239459,-0.32253662
1.5744773,-8.465807,-0.9379865,-0.1678351,-0.9480621,-0.30665413
-0.1052842,-7.733603,1.847259,0.45402524,-0.14905101,0.098960094
-5.2307105,-23.200808,-3.37388,-0.34620762,0.49113527,0.13927718
-3.8333018,-6.407979,1.402194,-0.93996817,1.6652174,0.02687805
-3.0675986,-3.9242291,3.0436704,0.992808,2.2027783,0.52656543
-3.2350962,-10.279566,2.024328,-0.15806127,0.062308207,0.29077163
-0.6029913,-10.973485,-1.8903298,1.9530874,-3.307222,0.8063415
2.684747,-8.020741,1.6271194,4.0092583,-0.17715079,0.84054995
1.4117653,-10.863415,-0.79441714,-0.31932956,3.528355,-0.5522218
-1.3830515,-9.796216,1.8329022,-0.0810923,0.29077163,0.020769402
-1.3160524,-8.724232,1.7659031,0.06429352,0.46059203,0.30787584
-0.37328035,-10.887343,0.29192436,1.6549854,0.524122,0.44104436
3.507878,-10.576276,0.1052842,0.46624255,-1.3341287,0.7305943
1.8089739,-12.457035,1.3016955,-0.64553136,0.6401863,-0.18325943
2.78046,-13.131811,-1.2490535,-1.8501567,0.017104214,-1.1569779
-1.3064811,-13.399807,0.8662018,-2.575864,-1.5320488,-1.7763947
-7.776674,-14.969499,2.2779672,-3.429853,0.51312643,-0.85643244
-4.685147,-7.9968133,-0.6364908,-0.09575305,1.0641265,-1.2351686
-1.4931214,-5.85763,2.0865414,-0.7921389,-1.4391974,0.18325943
3.885944,-6.9391856,0.37328035,-0.7493784,-0.79290247,-0.39950556
-0.81834537,-5.9342003,1.1772687,0.080176,-0.7061597,-0.5546652
-3.952943,-4.508078,-0.014356935,0.62751085,-0.23701553,-0.043982264
-1.1916257,-9.035298,-5.4221363,1.6488768,-0.9957096,0.75991577
4.2161536,-16.007984,-6.3218374,0.2952004,0.6181952,-0.25900668
2.321038,-6.5084777,-2.6943183,0.08384119,-1.865581,0.07696896
-2.4933212,-10.820344,3.8524444,-0.4659371,1.210734,0.14782928
-3.211168,-13.217953,3.9433718,-0.61620986,1.9950844,0.09407318
-2.1870399,-4.9531426,1.9286151,-0.14462224,1.1618648,0.3762927
-2.225325,-7.097112,4.398008,0.39538223,-0.284663,0.3274235
-1.052842,-11.150554,1.9286151,1.4387393,-1.4453061,0.6646209
-0.39720857,-8.575876,-2.5842485,6.0629854,-1.2644901,0.77702
1.7467605,-9.982856,-0.8853444,-1.460425,3.4489427,0.040317077
0.8279166,-10.518848,1.052842,0.46624255,1.2644901,-0.020769402
0.023928227,-8.504091,2.3306093,0.40393433,-0.375071,0.23335035
0.047856454,-9.595219,2.5459633,0.8034399,1.3158027,0.19303326
1.3686945,-11.710474,-0.32542387,1.4155264,-0.9431752,0.56443906
2.507678,-12.768102,1.7706888,-0.963181,0.05742129,0.31520623
3.737589,-14.601004,-2.0961127,-0.89354247,-0.13927718,-0.80389804
0.25842485,-11.815758,-1.430908,-2.7640104,-0.60964304,-1.7629558
-3.7567315,-15.778273,7.0301127,-3.8318021,-1.2620466,-0.86987144
-7.513463,-11.035698,-1.8664017,0.6824887,0.040317077,-1.703091
-1.6031911,-6.7908306,1.8424734,-1.130558,-0.9175189,0.017104214
3.9577286,-6.7525454,1.6701902,-0.29122978,-1.115439,-0.90285814
-0.43070808,-6.350551,1.2634103,-0.07742711,-1.5711442,-0.4581486
-4.3262234,-3.7567315,0.32063824,0.7411317,-0.5729912,-0.1404989
-3.7040894,-6.6185474,-4.220939,1.8822271,-1.4514147,0.66217744
4.9866424,-19.439291,-8.623733,0.14737113,1.468519,0.0012217296
3.952943,-7.881958,-2.8953154,0.10583232,-1.3426808,-0.15393792
-2.7852457,-13.60559,3.9577286,-0.3914116,1.1545345,0.53145236
-4.249653,-12.222538,1.4213367,0.16936226,1.7947208,-0.20891576
-3.1776686,-5.6757755,2.2348964,0.18035783,1.3060288,0.36651886
-3.062813,-6.135197,2.5220351,0.0056504994,0.82466745,0.65973395
-1.3351951,-11.997613,0.55034924,0.97081685,-1.9339979,1.0604613
1.1964114,-9.643075,0.43070808,4.6726575,-3.9791732,1.2681553
2.3306093,-9.647861,-0.55034924,-0.75304353,3.4183993,-0.30543238
-0.5455636,-10.083355,1.4979069,0.4637991,2.2650867,-0.52778715
-1.4644074,-8.997013,1.7802601,-0.2545779,1.1325433,0.2516763
-1.5170496,-11.016556,0.66999036,1.0221295,1.2205079,0.33108872
3.129812,-11.653047,-0.6364908,0.5028944,-3.2082617,1.1313215
3.9673,-12.705888,1.9094725,-0.6663008,1.567479,-0.13194679
3.225525,-13.864015,-1.1437693,-1.0413717,0.10140356,-1.0653481
1.1437693,-11.140983,-0.79441714,-3.0230172,-1.2070688,-1.6139047
-5.1014977,-17.003397,6.6041903,-3.7035205,-0.33719736,-0.5717694
-6.503692,-7.9968133,-1.6127625,0.22678354,0.05131264,-1.657887
-1.2011969,-5.7954164,2.0386848,-0.9436334,-1.3927717,0.25900668
4.4410787,-6.829116,2.0721843,-4.58E-04,-0.8136719,-1.1020001
-0.37328035,-8.221739,0.14356937,-0.033444848,-1.6297872,-0.49235702
-5.0009995,-5.0105705,1.4644074,0.45769045,-1.16553,-0.08796453
-2.1774685,-7.6666036,-3.8668015,1.9885175,-0.6560688,0.18570289
3.3690944,-18.702301,-10.533205,0.15103632,1.4795145,0.53023064
5.2833524,-8.886943,-3.278167,0.26343542,-1.5552617,-0.02932151
-0.51206404,-10.0881405,4.4410787,-0.14462224,0.34819293,0.4508182
-4.6229334,-18.405592,3.182454,-0.033444848,2.1881177,-0.38973173
-3.723232,-6.2883377,1.847259,0.69714946,0.93706656,-0.062308207
-3.3403804,-4.733003,2.6512475,-0.3376555,1.7641774,0.48624837
-3.5318062,-11.782259,1.0001999,0.21945317,-0.971275,0.6976076
-0.28713873,-9.379865,0.79441714,3.4973536,-3.9266388,0.9810488
4.0295134,-9.518648,0.6556334,1.7942625,1.4428626,0.39584038
0.27756742,-9.887143,-0.18185452,0.35873035,4.086685,-1.0470222
-0.70348984,-9.202796,1.2107682,-0.30100363,1.4416409,0.086742796
-1.1389836,-9.078369,1.4404793,0.39293876,0.28344125,0.7171553
2.062613,-11.006984,1.9908284,0.42226028,-2.547306,0.84421515
4.5415773,-10.9352,1.0624132,1.4802781,-0.64385146,0.66217744
3.790231,-13.069597,-1.8903298,-2.1629195,1.1020001,-1.2547163
0.43070808,-11.638689,0.72263247,-2.5477643,-1.3756675,-1.9767585
-3.991228,-17.228323,6.8099732,-3.312567,-0.82344574,-0.7733548
-7.609176,-10.399207,-2.737389,-0.11896592,-0.32375833,-1.4697406
-1.6510476,-6.317052,1.5266209,-1.2918262,-0.45203993,0.16371176
2.861816,-5.790631,1.253839,-0.3205513,-1.1349868,-0.5729912
0.038285162,-7.04447,0.35413775,0.17302746,-0.8148936,-0.47280934
-3.9290147,-4.6755753,1.0480564,0.41615164,-0.85521066,0.03054324
-2.7182465,-7.661818,-4.0869412,1.5511384,-1.3304635,0.62552553
5.312066,-18.262022,-6.3888364,0.86819154,2.2430954,-0.43127054
3.3882368,-6.623333,-3.0532417,-0.23503022,-1.5173881,-0.0036651888
-2.9766715,-9.269794,1.2394822,0.5395463,0.17348559,0.4251619
