Accelerometer x,Accelerometer y,Accelerometer z,Gyroscope x,gyroscope y,gyroscope z 
-3.646781801,0.9786965641,1.274905954,-0.677644074,-3.217726946,-1.33215785
-0.9023989218,-1.599813616,0.889758636,0.2379429042,-3.360327005,-2.021703243
1.692095594,-0.7576210331,-0.4240007806,0.4285203815,-0.9098347425,-0.8794851303
1.269846917,0.1446611305,-0.4839426236,-0.1374012679,0.8037477732,0.8285968304
0.06839490631,0.09070566845,-0.5469824326,-0.1897615194,2.117645979,1.366783857
1.737753767,0.1469303906,-0.8740864351,0.8658024669,5.627781868,1.028230071
-2.270781032,1.646488273,0.1272373184,-0.1569329649,-0.1938264817,0.8841117024
-0.4775941314,0.02601999192,0.1866118282,-1.565405726,-1.763067007,-0.03948498517
0.5155225877,-0.5847311485,0.3687506025,-0.6270782948,-1.358215809,-1.031060219
0.9102490508,0.09364216029,-0.3250573721,-0.3638059199,0.1535630226,-0.1154598147
0.7326964352,0.5970952478,0.4688542139,-0.7740786672,0.6790320873,0.4165612459
-0.3287590762,0.266030525,-0.7990021141,-0.8127031326,0.717233181,0.09724274278
-0.7875602442,0.9494991112,0.2072214489,-1.267097116,0.09982021898,0.3710399866
-0.1919265934,0.8813234006,0.2692936916,-1.330611944,0.01214549411,0.7086558938
-0.9616361237,0.4507306744,0.6561806932,-1.38365829,-0.2448525876,0.8760958314
0.2192529918,-0.7022571655,0.0463209486,-0.7379973531,0.1447339058,0.6333278418
-0.1273497841,-0.5266685434,0.6612744361,-0.3361550272,0.06047869101,0.2227844894
0.1956283706,-0.1938914638,0.5555418059,-0.2197628319,-0.3914802372,-0.1003760099
1.08805418,0.2322109653,0.4138526769,0.00432950817,0.04237103835,0.07188339531
0.5363783288,0.6241542274,0.5415627457,-0.146942094,0.1964812726,0.3579263091
0.01683832208,0.278659705,0.6913724911,-0.1029668525,0.0916403681,-0.04229116067
0.6353899071,0.1511179054,0.5016816208,-0.2960782051,0.006273631938,0.0140479207
0.2796469625,0.1200423837,0.2875518904,-0.05075548589,0.6104951501,0.3949094415
-1.427061094,-0.002861819172,0.5719352337,-0.1394835263,0.1507723629,-0.1480764151
-0.7604168013,-0.4544499871,-0.02644201672,-0.07314631343,0.1275351644,-0.4377918243
-1.638939757,0.1456555484,0.664478639,-0.1133691296,-0.2569081187,-0.2946066856
-0.7389625098,0.6240279706,-0.5390165683,-0.2908495665,0.1288192719,-0.06302344054
-1.68605456,3.678021866,-1.261678662,-1.63394022,0.9920989871,0.05788108334
-2.654320331,7.649493009,-0.89766371,-4.29145813,0.8229902983,-1.33209908
0.4029401647,2.987949059,-1.150617311,-7.280564785,0.5766445398,-1.770870686
4.590224096,1.849850745,1.343501644,-6.053663254,2.296120644,0.6010332704
4.202849165,1.538285088,5.68178833,-4.822584152,4.464968204,2.794692755
4.553508523,-4.51157726,7.225534606,-0.915230453,2.450416565,0.4117377996
2.189334921,4.844162617,2.194911844,-0.7123185396,1.893992662,-1.013685346
-2.785674674,5.884567157,-0.7015291435,-2.239090443,1.984279633,0.2186966091
-1.822296675,4.381544521,0.2018167038,-2.581541061,2.270079851,1.403343558
-1.633058883,-4.976870129,3.251708132,0.8350753784,2.713299751,0.09309312701
-2.533208564,5.223321509,1.645644808,-0.3463764191,1.672770619,-0.3586111665
-5.202582672,1.701583261,-3.474586328,-2.533844709,-0.1050029173,0.5805724263
3.099232674,-7.279290746,0.9426561134,0.603633225,2.892098904,-3.311564207
2.040996856,0.1149064821,3.692196229,-2.510312796,-1.886626124,-1.872729063
-0.2188613621,-1.835155573,-0.4809861119,-1.937414527,-1.70854795,0.995146811
-1.224662498,-4.741317159,-0.4691162259,-0.817889154,-0.8818671703,-0.2605961561
2.07641026,-6.618501609,0.07940846776,1.864279866,0.2140054256,-0.3441058695
3.229676333,-4.03906204,-0.2985088993,3.162349939,1.422350049,-0.8834013343
1.33699723,5.566902306,-1.071837205,3.244692564,2.276860952,-0.7061514258
1.028376322,-0.8369821545,2.451327569,3.743813276,0.07111226767,0.1662771553
-2.866472551,-1.011111372,3.691585988,1.924484015,-1.217045903,-1.127882004
0.3005442045,-4.571987598,1.63247553,1.562577724,0.3931724131,-0.364392668
1.697233249,-3.348124433,-3.523676815,2.720758438,1.18153131,1.369677186
2.893347114,2.118238501,-2.180978012,2.774261713,3.518262625,4.841440678
-3.972031992,5.453268913,-0.1135614973,-0.227131322,1.154442787,3.029309988
-3.930584422,5.7308379,2.135363677,-0.5570994616,-0.1882929653,1.08761847
0.08844108452,2.266839017,2.966979921,-1.301032305,-0.4171744883,-0.3750149608
-2.081867065,1.389494603,1.884760438,-0.3879780471,-0.2680190504,-0.9358165264
-1.046524484,1.190202084,2.211021268,-0.09767173976,-0.6469913721,-0.9896867275
-1.311925625,-0.1877287764,2.286898054,-0.1488164812,-0.8702415824,-1.280874848
-1.295201139,-1.983379218,0.6805103208,-0.4904396832,-1.228312969,0.08254684508
-0.6018377296,-3.510764434,0.6264058057,0.1357555091,-0.7587916255,-0.8762632608
2.414616672,-2.055430016,0.4649719657,-0.3994466662,-1.49977839,-0.1636954099
1.231470133,-1.247411652,1.059223222,-0.5144231915,-0.5271190405,0.112599887
3.671169223,1.65883133,-1.17756377,-1.121762156,-0.6398487687,0.5993831158
1.757938916,-2.830417487,-2.484810152,-0.06196156889,0.1972504407,0.2744084597
-0.771346703,-0.9834528918,-1.391897426,0.689284265,0.7962215543,-0.7138373852
0.07876074444,-0.5968990676,1.198589607,0.3835298419,0.6023228765,-1.158827424
-0.6982330245,-0.4047899572,0.5390753128,0.05007478222,0.2971058488,-0.7509759068
1.324407944,-0.201009406,0.03450549619,0.5880140066,0.4683426023,-0.7792887688
-1.221859424,0.7010159333,-0.06245908652,1.356915832,0.4202689528,-1.273362517
0.9973509957,2.652306068,-0.3772989429,1.114765525,1.913517833,-0.4008450508
0.1426103355,2.268021943,-1.490567644,0.1247448474,1.254653096,-0.06177347898
-0.003489449551,-0.3013615123,-3.228893658,-1.090370178,-0.2243335396,0.6253520846
1.515792832,-0.4858346479,-3.200166161,-3.144731998,0.4923416078,0.8790055513
-1.684337235,0.3113026222,0.04037935666,-2.632815838,-0.503845036,0.7533147931
1.604597927,-1.249707508,10.20834981,-1.43088758,-0.1227172166,0.3272442818
-0.4321745155,2.717527605,3.602821663,-2.914816618,0.3688193858,-0.3982281089
-2.378297989,-1.922222738,0.1258943246,-1.118330479,-1.209761858,-0.6231600642
2.738482715,-0.5299123476,-5.887347728,-0.1128238291,-0.5982166529,-1.100492597
-0.2222527581,1.654310637,-4.328854549,-0.507576406,-0.8128517866,-0.2386217564
-0.01597030707,1.445052093,-1.130589253,-1.887187481,-0.2493934333,-0.1358330697
-0.4622282199,1.337284377,1.952994601,-3.322368145,1.577384114,-0.08770710975
0.7709002013,-0.7534750193,6.384269075,-0.7986028194,0.3072833419,-1.398967266
0.4319860803,-2.831705773,4.839864043,-0.229042083,-0.2509067059,-1.025093436
3.570459609,-0.4155465483,-2.637823954,-1.590570688,-0.4489582777,1.316116571
-2.733192792,-0.5445791709,-4.543860404,-0.9551256299,1.952440023,1.973392606
-4.085197768,-0.855913065,-3.589403379,-1.093819499,3.012760162,1.212347031
-4.417552238,-5.009001881,0.589642886,-1.037084937,-1.964092731,-1.735847235
