accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-0.8959627513,0.5773886768,4.502127295,0.8963917494,-2.545769215,0.8963917494
-0.4450573049,2.948011601,2.560798582,1.269034624,-3.744762182,1.269034624
2.98388254,6.02022592,1.001077323,1.553064942,-4.430113316,1.553064942
5.834184293,8.060641614,-3.056304802,3.592527628,-3.558443069,3.592527628
-4.391420018,2.663089328,-4.326514123,3.934495687,-1.530229807,3.934495687
-7.850024934,-1.454240193,-3.101073334,2.659260273,-0.2024565786,2.659260273
-8.531730602,-4.522271088,-2.496971714,1.394015193,-0.8882783651,1.394015193
-4.526013198,-0.7624453845,-8.941764524,2.030710697,-1.309672475,2.030710697
1.603003352,-2.561679749,15.30747795,3.087050915,-3.16318655,3.087050915
10.07264019,-8.582005329,19.9630779,3.137827873,-1.268241644,3.137827873
-3.303409677,-2.034007581,3.062228055,2.630357504,-0.05414085463,2.630357504
-5.082888955,-3.226924988,-3.104436673,2.22913599,1.667665243,2.22913599
-4.243698477,-0.2642500714,-1.970613552,2.155583858,-1.251821995,2.155583858
-0.8344327623,1.167736204,3.931082727,0.5776036978,-1.201710105,0.5776036978
-0.6050549746,14.45165373,-9.62450012,-3.673408985,1.53773737,-3.673408985
5.620073924,-6.626510144,3.61119377,2.089258194,1.503704071,2.089258194
-0.5470172117,0.6792120977,0.8093620339,1.503516436,0.7300239205,1.503516436
-0.4548761036,0.4775450315,-2.630606862,0.8820011616,-0.4009712636,0.8820011616
-1.650946714,-0.1533990021,-1.052558504,0.4433604777,-0.4987063408,0.4433604777
3.156495653,-5.584323397,0.5928238541,2.064991474,-3.332479715,2.064991474
0.03470364911,-2.235703289,2.356860648,0.701135695,-3.274687052,0.701135695
-0.5000014857,7.682559412,0.4828875616,0.4774923027,-2.74534893,0.4774923027
-0.3142474435,3.624530222,-2.422511078,-0.6590585113,0.9609559774,-0.6590585113
-1.702190287,5.103033333,-0.09863342924,-0.1027021408,2.977338791,-0.1027021408
-0.6007619536,-1.42680858,6.807580997,-0.5980253816,-2.778901577,-0.5980253816
0.8797025214,1.057763671,-1.231550797,0.4136976898,-1.212416291,0.4136976898
-1.386369018,-0.2846697591,-0.8819184439,0.03905100003,0.1131106317,0.03905100003
-0.6616545215,-0.1273638126,-0.2840641944,-0.1610968709,0.3592281938,-0.1610968709
-0.04693944583,0.7167442483,-0.4225198213,-0.08362207562,0.3968658745,-0.08362207562
1.088242104,-0.1326274322,0.1727428042,-0.08451078832,0.08837143332,-0.08451078832
0.8621639421,0.2861789946,0.1414857154,-0.03095928952,0.1414467692,-0.03095928952
0.3708002286,-0.8197562945,0.3131279379,-0.06780993938,0.2900122702,-0.06780993938
