accelerometer x,accelerometer y,accelerometer z,Gyroscope x,Gyroscope y,Gyroscope z
-4.219498102,-0.04064765221,2.339215686,-1.880925059,2.824233294,-2.02099061
2.692173384,0.9335761504,-2.664483413,-0.9172002077,0.3450837135,-1.499058247
0.6851382729,0.8862488743,-2.555944128,0.7064212561,-1.191526532,-0.8136708736
0.4263404756,-0.2342822186,0.3721680098,0.4646393657,-0.06621710956,-1.143178344
1.813757249,-0.6550239974,0.4154816663,0.6314992905,0.5580791235,-0.1746054292
2.760861136,-0.3790969323,0.9857353767,0.5340994596,1.627847433,0.254693836
3.670630294,0.5904521565,3.114872726,0.1954129785,2.372188568,1.731066704
1.680255518,3.895219971,6.533360151,-1.090742111,1.359948635,-0.9409970045
2.52296891,6.428773987,6.104846569,-1.421575189,4.798719406,-1.566442013
-1.277434596,9.32021556,12.73474226,-3.027991056,5.520379066,-3.266067028
-1.077388994,12.81165365,5.702662191,-4.584393501,5.935293674,-4.020555496
1.313368664,12.9479665,-4.444408681,-5.976822376,2.908323526,-4.899467468
5.753944635,6.843954625,-20.73802299,-3.499922037,-2.283737898,-2.552588701
5.354218756,4.177757394,-17.01657553,-2.766835451,-2.501358271,-0.6171948314
4.212841567,1.946357939,-13.82549167,0.4442522228,-1.52885294,-0.9503672719
6.100587743,1.386406427,-3.532706801,0.6050981879,-1.774267554,-0.4188662469
7.128556579,-1.752862489,6.111124919,-0.641151011,0.06132719666,0.605984211
2.027524649,0.4849357263,2.026843389,-1.35360837,-1.578771949,-0.2410696149
2.036504659,0.8365437631,-3.848918823,-0.5611773729,-1.166513443,-0.003262707032
1.887634532,-0.5857604916,-5.072016848,1.319324136,0.09895031154,-0.1850734949
-0.5103972076,-4.826626376,2.302003269,-0.3364709914,-1.600537181,-0.6586809158
-2.889604712,-5.932884905,6.214506383,-0.1209719554,-1.220178962,-0.7489130497
-0.1472878258,0.4219336189,-2.957537846,-0.5342211127,-2.096895695,-0.8313652277
0.172969964,1.751212384,-2.88082987,-0.2255869955,0.2879558802,-0.7543190122
-3.872189516,1.741972262,-3.223075912,2.250832796,0.7781777978,-1.732595325
-0.5722197497,-7.451563376,1.460610897,-0.3772168756,0.6115742922,0.1183590591
-3.101270318,-5.638806682,0.1184191664,-1.216054916,0.747366488,0.1334287673
-2.501847796,2.108822876,1.084844132,-1.401677251,2.148327589,-0.6680562496
-7.56518391,-4.408246065,6.43370326,-2.359640598,0.7593011856,-1.274335027
7.268129301,1.595572909,-0.4821727279,-2.220112085,-1.051419497,-0.6239241362
3.116406512,6.48544923,1.651779365,0.1153068691,0.3742399514,-1.544426799
3.204810187,3.78575188,0.1262134736,-0.7453460097,-0.3488309979,-1.430182815
-0.4075665093,2.12103763,0.1698725825,-2.218476772,-1.437371254,1.457880616
-1.310131143,-1.554545318,-2.325104159,-0.2357294858,0.2044733912,0.611756742
2.257942009,-0.7334405315,-2.125901729,1.388543129,3.090059519,0.4838785827
-2.16808039,-3.816336988,-0.2918118859,-0.9971324801,-1.667362928,4.249058723
-3.401336091,-7.157789104,-1.088750345,0.1876609623,0.9462932944,-0.3246943355
0.4714601587,5.563050307,-2.131093306,0.924536705,-2.594815254,-0.2839834094
1.874363547,3.291833221,4.198190526,-0.5888764262,1.125144601,-0.3734458983
0.3012614129,1.937896985,1.090473516,-1.013228416,0.6825805902,-0.005676442757
